time,cpu%,mem%,down,Label
205,100.0,59.5,0.0,mining
206,100.0,59.5,0.0,mining
207,100.0,59.3,0.0,mining
208,99.6,59.4,0.0,mining
209,93.0,59.3,0.0,mining
210,57.0,59.3,0.0,mining
211,29.6,59.2,0.0,mining
212,32.5,59.3,0.0,mining
213,35.1,59.4,0.0,mining
214,26.4,59.4,0.0,mining
215,24.0,59.2,0.0107421875,mining
216,26.6,59.2,0.02080078125,mining
217,23.6,59.2,0.026953125,mining
218,20.8,59.2,0.09892578125,mining
219,14.9,59.3,13.064453125,mining
220,22.4,59.3,0.0,mining
221,23.0,59.4,0.0,mining
222,21.6,59.3,0.0,mining
223,20.5,59.4,0.0,mining
224,17.9,59.3,0.0,mining
225,26.2,59.4,0.0,mining
226,27.2,59.0,0.0,mining
227,29.5,58.9,0.0,mining
228,29.1,58.8,0.0,mining
229,22.4,58.5,0.0,mining
230,36.0,58.6,0.0,mining
231,17.6,58.7,0.0,mining
232,21.7,58.6,0.0,mining
233,26.0,58.6,0.0,mining
234,24.9,58.7,0.0,mining
235,17.7,58.7,0.0,mining
236,16.5,58.8,0.0,mining
237,24.2,58.8,0.0,mining
238,31.9,59.0,0.02255859375,mining
239,31.8,58.5,0.005859375,mining
240,20.6,58.4,0.0,mining
241,16.1,58.4,0.0107421875,mining
242,16.9,58.5,0.0,mining
243,16.6,58.6,0.0,mining
244,19.6,58.5,0.0,mining
245,20.1,58.5,0.0,mining
246,10.6,58.5,0.086328125,mining
247,14.8,58.6,10.9169921875,mining
248,12.0,58.6,0.0,mining
249,12.8,58.6,2.91416015625,mining
250,13.2,58.5,2.849609375,mining
251,77.9,58.9,0.0,mining
252,98.4,59.2,0.01318359375,mining
253,100.0,59.4,0.02001953125,mining
254,100.0,59.6,0.0,mining
255,100.0,59.6,0.0,mining
256,100.0,59.8,0.0,mining
257,100.0,60.0,0.02080078125,mining
258,100.0,60.0,0.0,mining
259,100.0,60.1,0.0,mining
260,100.0,60.0,0.0107421875,mining
261,100.0,59.7,0.0,mining
262,100.0,59.8,0.0,mining
263,99.6,59.8,0.0,mining
264,97.5,59.9,0.03486328125,mining
265,100.0,60.0,0.0,mining
266,100.0,60.0,0.0,mining
267,100.0,59.8,0.0,mining
268,100.0,59.9,0.0,mining
269,100.0,60.0,16.99052734375,mining
270,100.0,59.8,3.06162109375,mining
271,61.3,59.5,0.0,mining
272,27.9,59.5,0.0,mining
273,31.7,59.5,0.009375,mining
274,35.7,59.3,0.05400390625,mining
275,25.6,59.2,0.0,mining
276,23.6,59.1,0.1404296875,mining
277,23.8,59.0,0.15302734375,mining
278,22.7,58.9,0.0,mining
279,26.5,58.8,0.05078125,mining
280,21.8,58.7,0.0,mining
281,16.7,58.9,0.0064453125,mining
282,16.0,59.0,0.6474609375,mining
283,21.5,59.0,0.641015625,mining
284,18.6,59.2,0.01025390625,mining
285,21.7,59.4,0.065625,mining
286,23.2,59.6,0.0,mining
287,15.3,59.6,0.0,mining
288,12.4,59.6,0.0,mining
289,12.5,59.6,0.0,mining
290,66.3,60.5,0.0,mining
291,25.0,59.9,0.0,mining
292,14.6,59.7,0.0,mining
293,20.0,59.4,0.0,mining
294,17.2,59.4,0.0,mining
295,20.1,59.3,0.0,mining
296,14.5,58.8,0.01806640625,mining
297,20.9,59.0,0.0,mining
298,16.7,59.1,0.0107421875,mining
299,19.5,59.2,0.0,mining
